0,0,0
50,0,0
50,0,20
100,0,20
// I
100,0,20
150,0,20
150,0,0
200,0,0
// I
200,0,0
300,0,0
300,100,20
200,100,20
// U
200,100,20
150,100,20
150,100,0
100,100,0
// I
100,100,0
50,100,0
50,100,20
0,100,20
// I
0,100,20
-100,100,20
-100,200,0
0,200,0
// U
0,200,0
50,200,0
50,200,20
100,200,20
// I
100,200,20
150,200,20
150,200,0
200,200,0
// I
200,200,0
400,200,0
200,400,20
200,200,20
// O
200,200,20
200,150,20
200,150,0
200,100,0
// I-
200,100,0
200,50,0
200,50,20
200,0,20
// I-
200,0,20
200,-100,20
100,-100,0
100,0,0
// U-
100,0,0
100,50,0
100,50,20
100,100,20
// I-
100,100,20
100,150,20
100,150,0
100,200,0
// I-
100,200,0
100,300,0
0,300,20
0,200,20
// U
0,200,20
0,150,20
0,150,0
0,100,0
// I-
0,100,0
0,50,0
0,50,20
0,0,20
// I-
0,0,20
0,-200,20
-200,0,0
0,0,0
// O
