0,0,0
50,0,0
50,0,50
100,0,50
//
100,0,50
150,0,50
150,0,0
200,0,0
//
200,0,0
300,0,0
300,100,50
200,100,50
//
200,100,50
150,100,50
150,100,0
100,100,0
//
100,100,0
50,100,0
50,100,50
0,100,50
//
0,100,50
-100,100,50
-100,200,0
0,200,0
//
0,200,0
50,200,0
50,200,50
100,200,50
//
100,200,50
150,200,50
150,200,0
200,200,0
//
200,200,0
400,200,0
200,400,50
200,200,50
//
200,200,50
200,150,50
200,150,0
200,100,0
//
200,100,0
200,50,0
200,50,50
200,0,50
//
200,0,50
200,-100,50
100,-100,0
100,0,0
//
100,0,0
100,50,0
100,50,50
100,100,50
//
100,100,50
100,150,50
100,150,0
100,200,0
//
100,200,0
100,300,0
0,300,50
0,200,50
//
0,200,50
0,150,50
0,150,0
0,100,0
//
0,100,0
0,50,0
0,50,50
0,0,50
//
0,0,50
0,-200,50
-200,0,0
0,0,0
//
