0,0,0
0,0,0
100,0,5
100,0,5
// I
100,0,5
100,0,5
200,0,0
200,0,0
// I
200,0,0
300,0,0
300,100,5
200,100,5
// U
200,100,5
200,100,5
100,100,0
100,100,0
// I
100,100,0
100,100,0
0,100,5
0,100,5
// I
0,100,5
-100,100,5
-100,200,0
0,200,0
// U
0,200,0
0,200,0
100,200,5
100,200,5
// I
100,200,5
100,200,5
200,200,0
200,200,0
// I
200,200,0
400,200,0
200,400,5
200,200,5
// O
200,200,5
200,150,5
200,150,0
200,100,0
// I-
200,100,0
200,100,0
200,0,5
200,0,5
// I-
200,0,5
200,-100,5
100,-100,0
100,0,0
// U-
100,0,0
100,0,0
100,100,5
100,100,5
// I-
100,100,5
100,100,5
100,200,0
100,200,0
// I-
100,200,0
100,300,0
0,300,5
0,200,5
// U
0,200,5
0,200,5
0,100,0
0,100,0
// I-
0,100,0
0,100,0
0,0,5
0,0,5
// I-
0,0,5
0,-200,5
-200,0,0
0,0,0
// O
